宠物服务/配种	广州专业工作犬，宠物狗训练，寄养学校	天河 - 珠江新城600元
物业管理/保安	花都巡逻保安+	花都 - 就近分配5001-8000
运输/物流/仓管	海珠开心	海珠 - 就近分配5001-8000
运输/物流/仓管	广州名企月入8K	天河8000-18000元以上
行政/后勤	做二休三七险一金好	番禺 - 根据个人户籍就近分配8001-10000
出国劳务	广州劳务输出	天河 - 珠江新城 - 诚招代理20000元以上
写字楼出租	直播间  美甲	荔湾 - 西城都荟1800元/月
行政/后勤	广州首选好	天河 - 根据户籍以及个人意愿就近安置20000元以上
行政/后勤	A 首选好	越秀 - 按个人意愿和户籍所在地就近分配5000-8000元以上
行政/后勤	好	黄埔 - 全国可分配3000-6000
行政/后勤	2021时尚靓丽好	从化 - 根据户籍所在地或个人意愿就近分配5000-8000
办公家具	模具货架阁楼货架平台库房中重型仓库货架防静电	白云 - 江高镇 - 金展货架厂58元
行政/后勤	广东广州从化高端	从化 - 全国根据个人户籍就近分配8001-10000元
出国劳务	广州国外	天河 - 珠江新城 - 诚招代理20000元以上
行政/后勤	好	广州周边 - 根据意向地分配5001-8000
出国劳务	出国打工，月薪三万以上无风险，	荔湾 - 龙溪 - 招代理一名20000元以上
酒店	绵阳招聘女服务员，工资高，待遇好，无需	天河 - 3048001-10000元
行政/后勤	做二休三七险一金好	番禺 - 根据个人户籍就近分配8001-10000
运输/物流/仓管	弹性	增城 - 就近分配5001-8000
行政/后勤	广州好	天河 - 根据个人户籍就近分配20000元以上
运输/物流/仓管	广州长途跟车员月过万	天河 - 就近分配20000元以上
运输/物流/仓管	广州长途跟车员月过万	天河20000元以上
行政/后勤	广东广州增城做二休三七险一金好	增城 - 工作地点可以按照个人户籍就近分配8001-10000元
行政/后勤	广东广州番禺做二休三好	番禺 - 根据户籍就近分配8001-10000元
行政/后勤	广州做二休三七险一金好	天河 - 根据户籍及个人意愿就近安排20000元以上
行政/后勤	美丽好	荔湾5001-8000元以上
物业管理/保安	安保	荔湾 - 就近分配8001-10000
出国劳务	广州国外	天河 - 珠江新城 - 诚招代理20000元以上
行政/后勤	好	荔湾 - 根据意向地分配5001-8000
行政/后勤	广东广州番禺做二休三七险一金好	番禺 - 工作地点可以按照个人户籍就近分配8001-10000元
运输/物流/仓管	花都开心	花都 - 就近分配5001-8000
行政/后勤	做二休三七险一金好	番禺 - 根据个人户籍就近分配8001-10000
二手房出售	合生广场 网红直播间	海珠 - 广州大道南 - 叠景路249号103万元
行政/后勤	好	花都 - 全国可分配3000-6000
出国劳务	宁夏正规出国打工丹麦卡车司机铺地毯工铺地板工正规	黄埔 - 诚招全国代理商不限区域20000元以上
工人/技工	花都弹性	花都 - 苏州市虎丘区鹿山路369号5001-8000
艺术培训	深圳DJ音乐节培训	海珠面议
出国劳务	广州国企直招出国打工	天河 - 成都市高新区吉庆一路绿地之窗1栋905号20000元以上
艺术培训	宝安区贵族DJ培训音乐节	天河面议
艺术培训	龙岗区喊麦DJ音乐节培训	番禺面议
酒店	诚聘迎宾/接待，有包吃，有年底双薪，	广州周边 - 广州周边 - 人民路一号8001-10000元
运输/物流/仓管	广州长期稳定月8千	天河8000-18000元以上
艺术培训	罗湖区DJ音乐节培训	黄埔面议
艺术培训	深圳DJ音乐节培训	花都面议
出国劳务	广州国外	天河 - 珠江新城 - 诚招代理20000元以上
艺术培训	坪山Cnvdj	广州周边面议
行政/后勤	好	天河 - 根据意向地分配5001-8000
酒店	招服务员，有包吃，有交通补助，	白云 - 新市 - 新市地铁a8001-10000元
酒店	高薪诚聘女服务员，有五险一金，有双休，	越秀 - 越秀周边 - 八旗二马路8001-10000元
运输/物流/仓管	普工	从化 - 苏州市高新区泰山路6号8001-10000元
运输/物流/仓管	普工	增城 - 苏州市高新区泰山路6号8001-10000元
运输/物流/仓管	普工	花都 - 苏州市高新区泰山路6号8001-10000元
运输/物流/仓管	普工	番禺 - 苏州市高新区泰山路6号8001-10000元
运输/物流/仓管	普工	增城 - 苏州市高新区泰山路6号8001-10000元
建材服务	黄埔彩钢瓦施	黄埔面议
运输/物流/仓管	增城仓管维修＋开心	增城 - 就近分配5001-8000
艺术培训	盐田贵族DJ培训音乐节	越秀面议
出国劳务	广州劳务出国.丹麦.	天河 - 珠江新城 - 诚招代理20000元以上
行政/后勤	广州首选好	天河 - 根据户籍以及个人意愿就近安置20000元以上
出国劳务	高薪诚聘工厂流水线	花都 - 兰桂一号20000元以上
职业技能	叉车在广州哪里考证找	黄埔 - 鱼珠 - 新通职业教育400元
艺术培训	坪山DJ音乐节培训	广州周边面议
物业管理/保安	巡逻保安＋无需站岗＋	花都 - 就近分配8001-10000
咨询	广州来穗人员积分入户	越秀 - 广州市越秀区中山三路33号中华国际中..面议
咨询	积分入户广州	越秀 - 广州市越秀区中山三路33号中华国际中..面议
咨询	广州积分入户	越秀 - 广州市越秀区中山三路33号中华国际中..面议
物业管理/保安	天河、白云+商场门岗、别墅前期形象岗+	天河 - 岗顶 - 南方电脑城   、京溪南方医院地铁口..5001-8000元
咨询	重磅！广州积分入户	越秀 - 广州市越秀区中山三路33号中华国际中..面议
艺术培训	广州哪里有专业的舞蹈培训包教会包拿证包分配	天河199元
咨询	2021年度广州积分入户	越秀 - 广州市越秀区中山三路33号中华国际中..面议
行政/后勤	广州好	天河 - 根据个人户籍就近分配20000元以上
工人/技工	急聘组装工月6千丨	天河 - 林和 - 天河高塘工业区5001-8000元
公司注册	1年公司转让，贸易公司转让，广州传媒	花都 - 中区 - 天贵商务面议
艺术培训	宝安区喊麦DJ音乐节培训	广州周边面议
艺术培训	龙岗区Cnvdj	天河面议
艺术培训	大鹏新区DJ音乐节培训	花都面议
艺术培训	广州学dj需要多少钱？学Dj有前途吗？学dj去学校还是	白云 - 布吉街道龙珠社区龙岗大道2162号南..面议
