艺术 培训 	 北京 学 培训 	 昌平 - 全国 均 可 教学 面议
行政 后勤 	 好 	 石景山 - 全国 可 分配 3000 - 6000
行政 后勤 	 高端 美丽 好 	 东城 崇文 - 根据 意向 地 分配 5001 - 8000
行政 后勤 	 高端 体面 好 	 西城 宣武 - 根据 意向 地 分配 5001 - 8000
行政 后勤 	 做二休 三七 险一金 好 	 延庆 - 根据 个人 户籍 就近 分配 8001 - 10000
行政 后勤 	 做二休 三七 险一金 好 	 通州 - 根据 个人 户籍 就近 分配 8001 - 10000
物业管理 保安 	 安贞 城管 招 5 人 身高 一米 七 以上 	 朝阳 - 安贞 - 安贞 城管 队 2001 - 3000 元
行政 后勤 	 做二休 三七 险一金 好 	 朝阳 - 根据 个人 户籍 就近 分配 8001 - 10000
行政 后勤 	 北京 2021 好 	 周边 - 根据 个人 意愿 选择 8001 - 10000 元
运输 物流 仓管 	 学徒 仓管 ＋ 朝阳 招聘 普工 ＋ 弹性 	 朝阳 - 就近 分配 5001 - 8000
行政 后勤 	 北京 好 	 丰台 - 按照 意向 就近 分配 5 - 8 以上
行政 后勤 	 北京 做二休 三七 险一金 好 	 朝阳 - 根据 户籍 及 个人 意愿 就近 安排 20000 元 以上
运输 物流 仓管 	 北京 业务 助理 专员 跟单员 	 朝阳 - 就近 分配 20000 元 以上
物业管理 保安 	 招聘 保安 	 大兴 - 黄村 - 天宫 院 新华联 药业 公司 面议
物业管理 保安 	 巡逻 保安 ＋ 无需 站岗 ＋ 	 通州 - 就近 分配 8001 - 10000
行政 后勤 	 北京 好 	 怀柔 - 按照 意向 就近 分配 5 - 8 以上
行政 后勤 	 好 	 燕郊 - 全国 可 分配 3000 - 6000
行政 后勤 	 好 	 密云 - 全国 可 分配 3000 - 6000
行政 后勤 	 做二休 三好 	 周边 - 按照 个人 户籍 就近 分配 8001 - 10000 元 以上
行政 后勤 	 首选 好 	 通州 - 按照 个人 户籍 就近 分配 8001 - 10000 元 以上
电脑 维修 	 戴尔 	 东城 崇文 - 崇文门 - 北京市 海淀区 维修 网点 80 元次
行政 后勤 	 好 	 燕郊 - 根据 意向 地 分配 5001 - 8000
行政 后勤 	 高端 美丽 好 	 密云 - 根据 意向 地 分配 5001 - 8000
行政 后勤 	 高端 体面 好 	 平谷 - 根据 意向 地 分配 5001 - 8000
行政 后勤 	 北京 新 理想 好 	 门头沟 - 全国 根据 个人 户籍 就近 分配 8000 - 10000 元 以上
行政 后勤 	 北京 高薪 做二休 三好 	 石景山 - 全国 根据 个人 户籍 就近 分配 8000 - 10000 元 以上
行政 后勤 	 北京 2021 首选 好 	 东城 崇文 - 全国 根据 个人 户籍 就近 分配 8000 - 10000 元 以上
行政 后勤 	 北京 好 	 朝阳 - 根据 户籍 以及 个人 意愿 就近 安置 20000 元 以上
物业管理 保安 	 东城 崇文 巡逻 保安 + 	 东城 崇文 - 就近 分配 5001 - 8000
运输 物流 仓管 	 普工 	 顺义 - 苏州市 高新区 泰山路 6 号 8001 - 10000 元
运输 物流 仓管 	 学徒 仓管 ＋ 朝阳 招聘 普工 ＋ 弹性 	 朝阳 - 就近 分配 5001 - 8000
行政 后勤 	 好 	 门头沟 - 全国 可 分配 3000 - 6000
物业管理 保安 	 巡逻 保安 ＋ 无需 站岗 ＋ 	 海淀 - 就近 分配 8001 - 10000
行政 后勤 	 做二休 三七 险一金 好 	 通州 - 根据 个人 户籍 就近 分配 8001 - 10000
行政 后勤 	 好 	 怀柔 - 根据 意向 地 分配 5001 - 8000
行政 后勤 	 北京 好 	 西城 宣武 - 按照 意向 就近 分配 5 - 8 以上
运输 物流 仓管 	 普工 	 周边 - 苏州市 高新区 泰山路 6 号 8001 - 10000 元
行政 后勤 	 好 	 密云 - 全国 可 分配 3000 - 6000
行政 后勤 	 北京 好 	 东城 崇文 - 按照 意向 就近 分配 5 - 8 以上
行政 后勤 	 首选 好 	 门头沟 - 根据 个人 户籍 就近 分配 5001 - 8000
